x1,y1,x2,y2,x3,y3,x4,y4,bbox,text,confidence
219,71,477,71,477,115,219,115,"[[219, 71], [477, 71], [477, 115], [219, 115]]",0 survey_-Walmart:cor_,0.3413992813798623
10,98,108,98,108,126,10,126,"[[10, 98], [108, 98], [108, 126], [10, 126]]",Give us,0.9950609778346456
107,83,355,83,355,145,107,145,"[[107, 83], [355, 83], [355, 145], [107, 145]]",steezback7PB643CYz2,0.08015318947234552
0,115,207,115,207,159,0,159,"[[0, 115], [207, 115], [207, 159], [0, 159]]","2 Thank ,oul ID #=",0.16582427984685696
140,133,325,133,325,199,140,199,"[[140, 133], [325, 133], [325, 199], [140, 199]]",Walmart ,0.32163395128664
100,181,408,181,408,234,100,234,"[[100, 181], [408, 181], [408, 234], [100, 234]]",949-498-6669_NoBHICHAEL,0.25586013316565615
151,211,361,211,361,255,151,255,"[[151, 211], [361, 211], [361, 255], [151, 255]]",951_AVENIDA PICO,0.6107614834393335
105,229,489,229,489,291,105,291,"[[105, 229], [489, 229], [489, 291], [105, 291]]","Smicie,904 6e/3257784' 06193:",0.0014828634508652762
20,260,326,260,326,310,20,310,"[[20, 260], [326, 260], [326, 310], [20, 310]]",ST# 02521 OPi 009oa5 TEOE,0.01571221294345974
414,280,442,280,442,306,414,306,"[[414, 280], [442, 280], [442, 306], [414, 306]]",1.,0.35887974944973794
21,294,157,294,157,332,21,332,"[[21, 294], [157, 294], [157, 332], [21, 332]]",GV  OATHEAL,0.283902314382794
177,282,340,282,340,325,177,325,"[[177, 282], [340, 282], [340, 325], [177, 325]]",'007874743408;:,0.3552293640985687
412,302,438,302,438,330,412,330,"[[412, 302], [438, 302], [438, 330], [412, 330]]",6),0.19468617769403643
18,304,343,304,343,376,18,376,"[[18, 304], [343, 304], [343, 376], [18, 376]]",QARLEics  8391053008,0.00218877064717201
402,326,438,326,438,358,402,358,"[[402, 326], [438, 326], [438, 358], [402, 358]]",24,0.9997509212118593
473,295,499,295,499,374,473,374,"[[473, 295], [499, 295], [499, 374], [473, 374]]",,0.0
